phase_idx,immerse,concurrency,rate_hz,life_ms,duration_s,posted,stopped,dropped,frames,avg_frame_ms,p50_frame_ms,p95_frame_ms,max_frame_ms
0,off,32,300.00,500,5.00,320,320,1181,2115,2.365,2.309,2.920,5.949
1,on,32,300.00,500,5.00,320,320,1181,2110,2.370,2.310,2.926,5.615
