phase_idx,immerse,concurrency,rate_hz,life_ms,duration_s,posted,stopped,dropped,frames,avg_frame_ms,p50_frame_ms,p95_frame_ms,max_frame_ms
0,off,32,300.00,500,15.00,960,960,3540,6869,2.184,2.101,2.604,44.245
1,on,32,300.00,500,15.00,960,960,3540,6613,2.268,2.192,2.736,8.225
2,off,64,300.00,500,15.00,1920,1920,2580,7074,2.121,2.059,2.536,4.126
3,on,64,300.00,500,15.00,1920,1920,2580,6678,2.246,2.180,2.766,5.132
4,off,128,300.00,500,15.00,3828,3829,672,6955,2.157,2.091,2.587,4.926
5,on,128,300.00,500,15.00,3828,3830,672,6961,2.155,2.087,2.585,5.231
6,off,256,300.00,500,15.00,4501,4501,0,6678,2.247,2.180,2.730,4.826
7,on,256,300.00,500,15.00,4500,4500,0,6813,2.202,2.122,2.688,6.012
