phase_idx,immerse,concurrency,rate_hz,life_ms,duration_s,posted,stopped,dropped,frames,avg_frame_ms,p50_frame_ms,p95_frame_ms,max_frame_ms
0,off,32,300.00,500,15.00,960,960,3540,6504,2.306,2.219,2.780,45.631
1,on,32,300.00,500,15.00,960,960,3540,6774,2.214,2.148,2.687,6.284
2,off,64,300.00,500,15.00,1920,1920,2580,6488,2.312,2.245,2.830,9.139
3,on,64,300.00,500,15.00,1920,1920,2580,6604,2.272,2.200,2.779,7.873
4,off,128,300.00,500,15.00,3829,3830,671,6560,2.287,2.220,2.799,5.473
5,on,128,300.00,500,15.00,3830,3831,671,6550,2.290,2.223,2.776,8.319
6,off,256,300.00,500,15.00,4501,4501,0,6561,2.287,2.210,2.800,5.048
7,on,256,300.00,500,15.00,4501,4501,0,6267,2.394,2.333,2.949,5.660
