phase_idx,immerse,concurrency,rate_hz,life_ms,duration_s,posted,stopped,dropped,frames,avg_frame_ms,p50_frame_ms,p95_frame_ms,max_frame_ms
0,off,32,300.00,500,5.00,320,320,1180,2136,2.341,2.281,2.910,5.669
1,on,32,300.00,500,5.00,320,320,1180,2143,2.334,2.265,2.913,12.080
