phase_idx,immerse,concurrency,rate_hz,life_ms,duration_s,posted,stopped,dropped,frames,avg_frame_ms,p50_frame_ms,p95_frame_ms,max_frame_ms
0,off,8,60.00,250,15.00,459,459,442,6984,2.148,2.085,2.612,8.197
1,on,8,60.00,250,15.00,456,456,444,6887,2.178,2.111,2.631,5.242
2,off,32,60.00,250,15.00,900,900,0,7104,2.112,2.059,2.506,3.418
3,on,32,60.00,250,15.00,900,900,0,6550,2.290,2.228,2.764,5.113
4,off,64,60.00,250,15.00,900,900,0,7004,2.142,2.080,2.536,5.145
5,on,64,60.00,250,15.00,900,900,0,6538,2.294,2.226,2.795,4.939
6,off,128,60.00,250,15.00,900,900,0,6961,2.155,2.092,2.555,5.395
7,on,128,60.00,250,15.00,900,900,0,6871,2.183,2.118,2.631,5.437
