phase_idx,immerse,concurrency,rate_hz,life_ms,duration_s,posted,stopped,dropped,frames,avg_frame_ms,p50_frame_ms,p95_frame_ms,max_frame_ms
0,off,32,300.00,500,15.00,960,960,3540,6945,2.160,2.088,2.641,6.864
1,on,32,300.00,500,15.00,960,960,3540,6703,2.238,2.168,2.730,5.706
2,off,64,300.00,500,15.00,1920,1920,2580,6983,2.148,2.082,2.585,4.081
3,on,64,300.00,500,15.00,1920,1920,2580,6505,2.306,2.229,2.831,5.351
4,off,128,300.00,500,15.00,3829,3831,671,6910,2.171,2.103,2.606,6.005
5,on,128,300.00,500,15.00,3828,3830,672,6150,2.439,2.375,3.095,5.740
6,off,256,300.00,500,15.00,4500,4499,0,6404,2.342,2.257,2.930,6.578
7,on,256,300.00,500,15.00,4500,4500,0,6728,2.230,2.159,2.728,5.915
