phase_idx,immerse,concurrency,rate_hz,life_ms,duration_s,posted,stopped,dropped,frames,avg_frame_ms,p50_frame_ms,p95_frame_ms,max_frame_ms
0,off,32,300.00,500,5.00,320,320,1180,2250,2.223,2.160,2.694,4.844
1,on,32,300.00,500,5.00,320,320,1180,2163,2.312,2.249,2.826,5.464
